tissue,image_id,energy_orig,energy_norm,point_orig,point_norm,iou_orig,iou_norm
Bile-duct,img_Bile-duct_2_01419.png,0.14363096607551026,0.38820021631892276,0.0,0.0,0.0006110601892419615,0.006080875644244185
Bile-duct,img_Bile-duct_3_01539.png,0.8551908597134091,0.4143281733093934,1.0,1.0,0.12337312282453806,0.06555701561793276
Bile-duct,img_Bile-duct_1_01594.png,0.3614418223405249,0.09437620788855801,1.0,0.0,0.008451656521821617,0.0009689922477490335
Bile-duct,img_Bile-duct_1_01576.png,0.0,0.0,0.0,0.0,0.0,0.0
Bile-duct,img_Bile-duct_2_01207.png,0.7173211599550186,0.3567116471044572,1.0,0.0,0.0007794232267253732,0.005265467309646175
Bile-duct,img_Bile-duct_3_01257.png,0.7636640946844773,0.8329190926431834,0.0,1.0,0.01757666417187952,0.0796029218880312
Bile-duct,img_Bile-duct_2_01279.png,0.853042221603956,0.0,1.0,0.0,0.16867469850486283,0.0
Bile-duct,img_Bile-duct_2_01271.png,0.801084776921961,0.05282891043465716,1.0,0.0,0.021286604725239727,0.0
Bile-duct,img_Bile-duct_3_01480.png,0.006944801056975717,0.023002432042589727,0.0,0.0,0.0,0.0008873114455303358
Breast,img_Breast_2_00636.png,0.6315699334794428,0.6857390349344973,1.0,1.0,0.045257668165362176,0.07488299531332267
Breast,img_Breast_1_00218.png,0.8181807880586194,0.4016498604252654,1.0,0.0,0.016310532302906747,0.02773993807706007
Breast,img_Breast_1_00420.png,0.3038984815470171,0.5752535994105903,0.0,1.0,0.0,0.15584624025713456
Breast,img_Breast_3_00237.png,0.7745315562047647,0.49395591985105775,0.0,1.0,0.028119507901551717,0.030168150338731912
Breast,img_Breast_2_00258.png,0.0,0.16316978414593342,0.0,0.0,0.0,0.001738055694962031
Breast,img_Breast_1_00402.png,0.42394489611851777,0.417377391158012,1.0,1.0,0.07409440174275624,0.039458635143069264
Breast,img_Breast_2_00059.png,0.8823280050411052,0.5519140167677337,0.0,1.0,0.0326080938917894,0.0884515570886434
Breast,img_Breast_2_00614.png,0.0,0.3922289451262575,1.0,1.0,0.0,0.058014254928006284
Breast,img_Breast_1_00605.png,0.09607088899210324,0.5837156844220653,0.0,0.0,0.0,0.10293441868949423
Breast,img_Breast_1_00668.png,0.8344640988243124,0.5229338162642415,1.0,0.0,0.013430378648866616,0.028849324099171667
